School_Name,School_Address,School_Contact,School_Website,School_Rating,School_City
RiseKids Pre-School,"III-A / 14, Sector 3, Vaishali",+91 78400 02669,http://www.risekids.in/,5,Ghaziabad
Diwakar Model School,"D. 23/1, GT Road",+91 120 263 0047,http://www.diwakarmodelschool.in/,2.4,Ghaziabad
Sanfort,"Plot No 433 Sector 4 Oppt. Milan Garden Gate No.1 Rampratha Green Sector 4, Vaishali",+91 87440 00268,http://www.sanfortschools.com/,4.1,Ghaziabad
WELL BEING SPECIAL SCHOOL,"218, Gyan Khand 1",+91 98119 58619,https://www.facebook.com/wellbeingspecialschool,4.8,Ghaziabad
Little Millennium Indirapuram -Pre School,"Plot no-446, Niti khand -2, Opp shipra society indirapuram, ,near Abhilasha Properties",+91 99580 01800,http://www.littlemillenniumindirapuram.com/,4.6,Ghaziabad
Mother's Pride Sahibabad,"3/36, Sector 5, Rajendra Nagar Sahibabad",+91 78386 53122,http://www.motherspridepreschool.com/,4.1,Ghaziabad
RiseKids Pre-School,3/90,+91 78400 02116,http://risekids.in/,4,Ghaziabad
New Rainbow Public School,"P-Block, Sec-12, Pratap Vihar",+91 120 274 6354,http://www.nrpschool.com/,4.2,Ghaziabad
Mother's Pride Vasundhara,"Plot No. 510, Friend's Society, Sector 12, Vasundhara",+91 88606 35328,http://www.motherspridepreschool.com/,4.4,Ghaziabad
"Mother's Pride Patel Nagar, Ghaziabad","A-,, 105, Meerut Rd",+91 78386 54293,http://motherspridepreschool.com/,3.7,Ghaziabad
Rainbow -The Play Group,"186, Gyan Khand 1",+91 98110 26960,http://www.rainbow-theplaygroup.com/,4.7,Ghaziabad
Shree Thakurdwara Balika Vidyalaya,"Hapur Road Tiraha, G.T.Road",+91 120 283 2470,http://www.thakurdwaraschool.com/,4,Ghaziabad
VDS CONVENT SCHOOL,"M-42, Pratap Vihar",+91 120 321 9239,http://vdsconventschool.com/,4,Ghaziabad
Aryan Kids World,"Sector-4, Vaishali",+91 120 277 3471,http://www.aryanpublicschool.com/content/aryan-kids-world,3.6,Ghaziabad
Vanasthali Public School,"Sector 3, Vasundhara",+91 120 411 1061,http://www.vanasthalischool.in/,3.6,Ghaziabad
Mothers Pride Academy,"Vasundhara Mother's Pride Academy Sector-12, Vasundhara, Ghaziabad-201012",+91 99108 99613,https://www.motherspridepreschool.com/,3.9,Ghaziabad
Divakar Model School,"Divakar Model School,",+91 120 262 0251,http://www.diwakarmodelschool.in/,4.5,Ghaziabad
"Delhi Convent School, ghaziabad","Vikram Enclave,Shalimar Garden,Aradhana Cinema,Sahibabad, Major Mohit Sharma Marg",+91 93102 11400,https://delhi-convent-school-ghaziabad.business.site/,5,Ghaziabad
Caterpillar Cafe Playway,1213 Near One Mart Mall,+91 99535 29006,http://www.mycity4kids.com/caterpillarcafe,5,Ghaziabad
Diwakar Model School,main near l r college,+91 98107 46270,http://www.diwakarmodelschool.in/,3.2,Ghaziabad
Diwakar model school,D-23/1 GHAZIABAD,+91 98107 46270,http://www.diwakarmodelschool.in/,3.3,Ghaziabad
Vivekanand Global School,Kala Pathar Marg,+91 92117 28856,http://www.vgsindirapuram.com/,3.7,Ghaziabad
Sahaj International School,"Plot No.3, Gyan Khan-1, Indirapuram, Gyan Khand 1",+91 81302 94809,http://sahajinternationalschool.com/,4.2,Ghaziabad
N. R. Aryan Public School,"A-98, Brindavan Garden",+91 98182 97326,http://www.nraryanpublicschool.com/,3.6,Ghaziabad
N.R.Aryan Public School,Ghaziabad,+91 98180 75399,http://www.nraryanpublicschool.com/,3,Ghaziabad
Chunmun School,Plot No 121,+91 82853 36365,https://veraxe.com/school/chunmun-school-105,4.8,Ghaziabad
Wings fly,"Nyay khand-1st Indirapuram Nyay khand, Street 1",+91 70654 54560,http://grconventschool.in/,3.4,Ghaziabad
Ringing Bells Play School,"II-B/51, Sadhana, Vaishali",+91 98991 80303,http://www.ringingbells.net/contact,4.9,Ghaziabad
Holy divine Public School,"G-block Lajpat Nagar, Sahibabad",+91 120 289 9100,http://www.hdpssahibabad.in/,2.8,Ghaziabad
Gautam Public Sr .Sec. School,"P-Block, Sector-12 Pratap Vihar",+91 120 284 1096,http://gautampublicschool.in/,3.4,Ghaziabad
AMIOWN,"Sector 1, Vasundhara, Ghaziabad Amity Int.School",+91 90151 95167,http://www.mycity4kids.com/amiownsec1,1,Ghaziabad
Footprints: Play School & Day Care Creche,"637, Ground Floor, Niti Khand-2, Indirapuram, Ghaziabad",+91 74062 22118,http://www.footprintseducation.in/pre_school_daycare_niti_khand_II_indirapuram_ghaziabad,4.5,Ghaziabad
Saint Teresa's Convent School,"Sarvodaya Nagar, Pratap Vihar",+91 120 284 3895,http://www.stteresaconventschool.in/,4.2,Ghaziabad
Vivekanand Public School,"NK 3, Makanpur Rd",+91 120 260 5117,http://www.vivekanandpublicschool.in/,4.3,Ghaziabad
Spring Dales Public School,3/1419,+91 141 327 5553,http://www.springdales.com/,2.4,Ghaziabad
Greenfields Public School,"GF-1, Plot No. 40, Shakti Khand-3, Indirapuram",+91 80100 90736,http://www.greenfieldspublicschool.com/,2.7,Ghaziabad
Rainbow Public School,"Pratap Vihar Near Golden Public School, Mawai Road",+91 95601 73519,http://www.nrpschool.com/,3,Ghaziabad
Mayur Public School,"Sector- 16 A, Vasundhara",+91 124 288 4375,http://www.mayurpublicschool.com/,3.3,Ghaziabad
St. Vivekanand School,"849/1, Opp Baba Health Club, Nyay Khand Ist, Indirapuram",+91 120 647 0369,http://www.vivekanandpublicschool.in/,3,Ghaziabad
Cliff Valley School Ghaziabad,"A, 21",+91 85279 29911,http://www.cliffvalley.in/,4.5,Ghaziabad
Icon International School Vaishali,"Plot No. 302, PnB Road, Opposite Punjab National Bank, Block A, Sector 3, Vaishali",+91 120 421 5444,http://iconschools.in/,4.7,Ghaziabad
Small Wonderz Playschool & Daycare,"88 Ahinsa Khand-II, Opp. Shanti Gopal Hospital, Indirapuram",+91 120 456 0560,http://smallwonderzplayschool.com/,4.4,Ghaziabad
Chhaya Public School,"Sector 3, Vaishali",+91 120 277 3271,http://www.chhayapublicschool.org/,3.6,Ghaziabad
Sophiya Public School,Vinoba Marg,+91 98990 70192,http://sophiyapublicschool.in/,5,Ghaziabad
"Ringing Bells School, Indirapuram","HIG-103, Gyan Khand-4, Indirapuram",+91 98991 80303,http://ringingbells.net/,4.9,Ghaziabad
"Kennis Play Way, Academy & Day Care","476, Niti Khand 2",+91 88008 03056,http://www.kennisplayway.com/,4.8,Ghaziabad
Riviera Kids Zone Play School Ahinsa Khand,"67 judges colony, Ahinsa Khand 2, Indirapuram,Ghaziabad",+91 99712 88941,http://www.rivierakidszone.com/,5,Ghaziabad
Amazing kids play school,"1070,Sector 4A, Vasundhara, Ghaziabad, U. P. 201012",+91 99534 12827,http://akps.webs.com/,5,Ghaziabad
ICON Nurturing Innocence Preschool,Vasundhara,+91 98714 01270,http://www.iconschools.in/,4.6,Ghaziabad
Jaipuria School of Business,"Shakti Khand - IV, Indirapuram",+91 97173 35551,http://jaipuria.edu.in/pgdm/,4,Ghaziabad
A.S.N School,"Mahiuddinpur kanawani Village, Indra Puram",+91 84470 44370,http://business.google.com/website/asnschool,3.7,Ghaziabad
SG Public School,"Sector-15, Vasundhara",+91 120 411 1669,http://www.sgpublicschool.org/,3.4,Ghaziabad
Rama International School,"PS-5,SHAKTI KHAND IV, INDIRAPURAM,",+91 80109 33600,http://www.ramaschool.in/,3.8,Ghaziabad
Delhi Public School Indirapuram,"526/1, Opposite",+91 120 467 0000,http://dpsindirapuram.com/,4.3,Ghaziabad
KLAP Preschool & Daycare (Play school in indirapuram),"House No. 27, Mall Road, Near Ashiana Upwan",+91 98109 00365,http://www.klappreschool.com/,4.9,Ghaziabad
ICON Nurturing Innocence Preschool,"326, Padmana Naidu Marg",+91 96501 12997,http://www.iconschools.in/,4.6,Ghaziabad
Sunshine Play School,"58 HIG ,Abhay khand 3 , Near Police Chowki , Indirapuram",+91 82855 11183,https://veraxe.com/school/sunshine-play-school-103,3,Ghaziabad
Delhi Public School Siddharth Vihar,"Plot No. SCH/01, Siddharth Vihar, Sector- 8",+91 88996 62244,http://www.dpssv.in/,4.1,Ghaziabad
"SHINE 'N' SMILE - PLAY SCHOOL IN INDIRAPURAM, GHAZIABAD","Plot No. 646, Near Royal Park Hotel, Shakti Khand 4, Indirapuram",+91 85275 23200,http://www.mycity4kids.com/shinensmileps,3.8,Ghaziabad
St Joseph's Academy,"Marium Nagar, Next to Mariyam Hospital, Nandgram, Ghukna",+91 120 287 1038,http://www.stjoseph-academy.com/,4.4,Ghaziabad
Indirapuram Public School Kids,"104, Street Number 4",+91 84709 40904,http://www.ipsindirapuramncr.com/,4.5,Ghaziabad
Elegant Public School Ghaziabad,Ghaziabad,+91 89202 09796,http://www.ejhsg.blogspot.com/,3.5,Ghaziabad
Kanossa Convent School,E200/A,+91 120 284 4333,http://kanossaconventschool.com/,3.9,Ghaziabad
Indirapuram Public School,"No.6, Nyaya Khand-II, Indirapuram",+91 120 260 7103,http://www.ipsindirapuramncr.com/,3.9,Ghaziabad
American Kidz,"Plot No. 412, Near Kishan Chowk, Sector-11, Vasundhara",+91 81305 22007,http://www.americankidz.edu.in/,4.7,Ghaziabad
ICON Nurturing Innocence Preschool,"3A,, Heritage Divine, Gyan Khand II, Indirapuram",+91 80101 08877,http://iconschools.in/,5,Ghaziabad
kadambari sangeet Mahavidyalaya,"Shop No: 460, 4, Harshvardhan Marg",+91 95997 70832,http://kadambarisangeet.com/,4.6,Ghaziabad
Swami Vivekanand Saraswati Vidhya Mandir,"11/6, Birbal Marg",+91 120 410 3538,http://www.svsvm.org/,4.4,Ghaziabad
Sapphire International School,"476, Niti Khand II",+91 88008 03056,http://www.sapphireschool.in/,3.5,Ghaziabad
Little Leaders Play School,"1515 Sector 5 Vasundhara, Gurudwara Rd",+91 98714 84244,http://www.littleleaders.in/,4.8,Ghaziabad
Play School Franchisee,"186 GF2, Gyan Khand , Indirapuram , Ghaziabad",+91 90133 24999,http://www.rainbow-theplaygroup.com/play-school-franchise,5,Ghaziabad
Jaipuria Institute of Management Indirapuram Ghaziabad,"Block A, Gate No-2, Shakti Khand 4, Indirapuram",+91 99582 22099,http://www.jaipuria.edu.in/jim,4.4,Ghaziabad
P. N. N. Mohan Public School,"Sector 5, Vasundra, Rajender Nagar, Block 7, Sector 5, Sahibabad",+91 120 415 3731,http://www.pnnmohanschool.com/,4.5,Ghaziabad
Footprints: Play School & Day Care Creche,"Plot- 1/402, Sector 1, Vaishali",+91 74062 22118,http://footprintseducation.in/pre_school_daycare_sector_1_vaishali_ghaziabad,5,Ghaziabad
TANSEN SANGEET MAHAVIDYALAYA,"19, 1st floor, golden residency near ashiana greens, above MORE departmental Store,",+91 95603 19024,https://www.tansensangeet.com/,3.3,Ghaziabad
Spring Dale School,"2, Meerut Road, Gautam Buddha Nagar, Sewa Nagar",+91 120 411 7056,http://mysds.in/,4,Ghaziabad
NIMT Institute of Technology & Management,"G.T. Road, Delhi-Ghaziabad Highway, Opp. Indira Priya Darshani Park, Near Hindon River Bridge, P.O. Mohan Nagar",+91 95551 92192,https://www.nimt.ac.in/,5,Ghaziabad
Christ Institute of Management,Nandgram Rd,+91 120 298 6765,http://www.christinstitute-ncr.ac.in/,4.5,Ghaziabad
Swar Shringar Sangeet Mahavidyalay,"L-419, Sec-12, Pratap Vihar, Near Santosh University",+91 98106 99917,http://www.fb.com/sssmahavidyalay,4.9,Ghaziabad
Ambey Darshan Motor Driving School,"GF-21, Shipra Rivera Tower, Gyan Khand-III,, Indirapuram",+91 98117 20763,http://ambey-darshan-motor-driving-school.business.site/,3.1,Ghaziabad
Aaditya Motor Driving School,"105, Makanpur Rd Makanpur, Nyay Khand 2, Indirapuram,Ghaziabad, Uttar, Pradesh",+91 90159 19028,https://aaditya-motor-driving-school.business.site/,4.9,Ghaziabad
Ashu Motor Driving Training School,Indirapuram Ghaziabad Jaipuriya,+91 96505 80549,https://aush-motors-driving-training-school.business.site/,4.7,Ghaziabad
meeshty car driving School in indirapuram | car driving,"1a, Kala pathar road , nyay khand -2, indirapuram",+91 93546 00218,https://meeshty-car-driving-school-car.business.site/,4.7,Ghaziabad
INDIRAPURAM KARATE SCHOOL,"350, Near Hathi park(Rani avantibai park",+91 99718 54644,http://indirapuramkarateschool.com/,4.3,Ghaziabad
G.Z.B Karate School,"Shop No:28, Vijay Nagar, Shivpuri Main Rd",+91 99712 73365,http://www.indirapuramkarateschool.com/,3.3,Ghaziabad
