School_name,School_Address,School_Contact,School_Website,School_Rating,School_Delhi
St Andrews Scots Senior Secondary School,"9th Avenue,I.P. Extension,Patparganj",+91 11 2224 1167,http://www.standrewsdelhi.com/,3.8,Delhi
The Delhi Music Society,"8, Nyaya Marg",+91 11 2611 5331,http://www.delhimusicsociety.net/,3.9,Delhi
Salwan Public School,"G.L. Salwan Marg, Rajendra Nagar",+91 11 4925 4500,http://salwanpublicschool.com/,4.2,Delhi
Saint Andrews Scots School,"G-26, Jagat puri, street no. 17 Parwana Rd, Jagatpuri, Krishna Nagar",+91 11 2254 1077,http://www.standrewsscots.com/,3.8,Delhi
American Embassy School,Chandragupta Marg,+91 11 2688 8854,http://www.aes.ac.in/,4.2,Delhi
Vidya Public School,"Vidya Bhawan, Opp. Kali Mandir Bangla Shaib Marg, Connaught Place",+91 11 2334 8843,http://www.vidyapublicschool.com/,4.2,Delhi
AMPA Music School Delhi,D 28,+91 99999 09777,http://www.ampamusicschool.com/,4.3,Delhi
SNEH International School,"Near Preet Vihar Metro Station, New Rajdhani Enclave, Swasthya Vihar",+91 11 2201 6772,http://www.snehinternationalschool.com/,4.1,Delhi
Sadhu Vaswani International School For Girls,"2nd Street, Shanti Niketan",+91 11 2411 2390,http://www.svisgdelhi.com/,4,Delhi
Deutsche Schule New Delhi,"2, Nyaya Marg, Chanakyapur",+91 11 4168 0240,http://www.dsnd.de/en/page/address-and-contacts,4.4,Delhi
Sapphire International School,"DDA Flats, Block-B, Anand Vihar",+91 11 3080 3737,http://www.sapphireschool.in/,4.6,Delhi
Delhi Kannada Senior Secondary School,Maharshi Raman Marg,+91 11 2461 1360,https://www.delhikannadaschool.com/,4.3,Delhi
Delhi Tamil Education Association Sr. Sec. School,Near Birla Mandir,+91 11 2336 3114,http://dteaschool-mm.org/,4.2,Delhi
East Delhi Public School,"F294, Gali Number 2",+91 11 2279 3607,http://www.eastdelhipublicschool.com/,3.1,Delhi
Ramjas School Pusa Road,Pusa Rd,+91 11 2576 7358,http://www.ramjaspusa.com/,4.2,Delhi
Bharat National Public School,"Parwana Road, Near Khureji, Brijpuri Extension",+91 11 2237 0871,http://www.bnpsramvihar.edu.in/,2.3,Delhi
"St.Anthony's Girls' Sr. Sec. School, Paharganj, New Delhi","8632, Arakashan Rd",+91 11 2352 0033,http://www.sagsss.in/,4,Delhi
Saai Memorial Girls' School,"Sai Bhawan Raja Ram Kohli Marg, Geeta Colony, Near Patrol Pump, Delhi",+91 11 6516 4888,http://www.saibhawan.com/auraks/webaura/site_sai/site/contact-us.html,4,Delhi
Delhi School of Art,"F-1898, Opp. B-50",+91 88602 64505,http://www.delhischoolofart.in/,4.8,Delhi
Presidium School Anand Vihar,Block D,+91 78386 54445,http://www.motherspridepreschool.com/,4.7,Delhi
Lycée Français International de Delhi,"2, Doctor APJ Abdul Kalam Road(former Aurangzeb Road)",+91 11 3041 9550,http://lfidelhi.org/,3.1,Delhi
Aster Public School,Mayur Vihar I,+91 11 2275 6999,https://www.asterinstitutions.com/mayur-vihar/,3.4,Delhi
GD Goenka Public School,"Behind Karkardooma Metro Station, Arya Nagar, Anand Vihar",+91 72898 80880,http://www.gdgoenkakarkardooma.com/,3.8,Delhi
"The Art Hub- Painting school in delhi, Art Summer camps in delhi, Painting School for Kids & Adults",D-19,+91 98106 88074,http://www.thearthub.in/,4.7,Delhi
Mother's Pride Jangpura,"3, Birbal Road, Ext, Near Jangpura Post Office Jangpura",+91 85869 84495,http://www.motherspridepreschool.com/,4.3,Delhi
Mother's Pride Preet Vihar,"Near Metro Station, 4",+91 78686 53101,http://www.motherspridepreschool.com/,4,Delhi
Mother's Pride Shahdara,"A-7 DELHI, Navin Shahdara, Shahdara",+91 98111 22415,http://www.motherspridepreschool.com/photo-gallery.php,4.5,Delhi
Shemrock Pride Play School in East Delhi,"14, Hargovind Enclave, Vikas Marg, Near Karkari More, Opp. Metro Pillar No. 119,",+91 11 2237 0460,http://www.pride.shemrock.com/,4.5,Delhi
Lilawati Vidya Mandir,"Near Railway Under Bridge, Shakti Nagar",+91 11 2365 6142,http://lilawatividyamandir.edu.in/,4.1,Delhi
AVB Public School,"Near Bathla Apartments ,Patparganj I.P., IP Extension, Patparganj",+91 11 2272 3000,http://www.avbpublicschool.in/,4,Delhi
ASN International School,"Opposite State Bank of India, Khudi Ram Bose Marg, Pocket 4, Mayur Vihar Phase 1",+91 11 2271 5881,http://www.asnschool.org/,3.8,Delhi
Convent of Jesus And Mary Khrist Raja Secondary School,"1, Bangla Sahib Rd, Kali Mandir, Connaught Place",+91 11 2374 3119,http://www.cjmkhristrajadelhi.org/aboutus.aspx,4.2,Delhi
St. Joseph's Academy,"Savita Vihar, Shahdara",+91 11 2216 5396,http://sjdelhi.com/,4.1,Delhi
H.M.D.A.V. Senior Secondary School,"Near Shroff's Hospital, Darya Ganj",+91 11 2351 9815,http://davcmc.net.in/,4,Delhi
East Point School,"FC-26, Vasundhara Enclave, Dallupura",+91 11 2262 1187,http://www.eastpointschooldelhi.edu.in/index.php,4.1,Delhi
Mother's Pride Vivek Vihar,"56, Vivek Vihar Rd",+91 78386 54253,http://motherspridepreschool.com/,4,Delhi
Makoons Play School Vigyan Vihar,15 Opposite HDFC Bank,+91 98110 71511,http://www.makoons.com/,4.3,Delhi
SLS DAV Public School,Bhisham Lal Sharma Marg,+91 11 2244 0134,http://www.slsdavps.com/,3.7,Delhi
St andrews school,IP Ext,+91 110475643,http://www.standrewsdelhi.com/,3.8,Delhi
Anglo Arabic Senior Secondary School,DB Gupta Road,+91 33 5539 1296,http://angloarabic.co.in/,4.5,Delhi
National School of Drama,"1, Bahawalpur House, Bhagwandas Road",+91 11 2338 9402,http://nsd.gov.in/,4.5,Delhi
The Tourism School,"801 Rohit House, 3 Tolstoy Marg, Connaught Place Near Barakhamba Road Metro Station Gate No 3",+91 11 2373 9747,http://www.thetourismschool.com/,4.5,Delhi
PLAY SCHOOL IN EAST DELHI,"1, Nirman Vihar",+91 11 2244 9215,https://www.facebook.com/shishumangalschool/,5,Delhi
"Amity International School, Mayur Vihar",Sadbhawana Marg,+91 11 2271 7261,http://amity.edu/ais/mayurvihar/,4,Delhi
Delhi Public School,Sector-30,+91 120 450 9100,http://www.dpsnoida.co.in/,3.9,Delhi
School Of Aviation Science And Technology - Delhi Flying Club,,+91 99997 98963,http://www.delhiflyingclub.org/about-sast.html,5,Delhi
Delhi Public School,"Sector 9, Vasundhara",+91 120 288 0262,http://dpsgv.in/,4,Delhi
Aaft School Of Fashion And Design,"B-122, Udhyog Marg, Sector 5",+91 120 457 1228,http://www.aaft.com/,3.3,Delhi
Sapphire International School,"SS - 1, Sector 70",+91 97173 30066,http://www.sapphireschool.in/,4.2,Delhi
Asian Academy of Film & Television,"Marwah Studios Complex, FC 14-15",+91 120 483 1100,http://aaft.com/,3.8,Delhi
KR Mangalam World School,"Plot No 11, Sector 6, Near Arogya Hospital, Vaishali Extension, Ramprastha Greens, Vaishali",+91 87507 83999,http://krmangalam.com/vaishali/,4.2,Delhi
St Teresa School,"Shakti Khand-II, Indirapuram",+91 88260 00216,http://www.stteresaschool.in/,4.3,Delhi
Kothari International School,B-279,+91 120 408 2430,http://www.kotharischool.edu.in/,4,Delhi
"Global Indian International School (GIIS), Noida Campus",D-5,+91 97186 66111,http://www.giisnoida.org/,4.2,Delhi
Culinary Arts School Delhi - #Call_8882595959 Tedco Education,"M-72 Connaught Circus, New Delhi, India",+91 88825 95959,http://www.tedcoeducation.com/,5,Delhi
"LTA SCHOOL OF BEAUTY Karol Bagh, New Delhi","LTA DELHI 4th Floor, 18/14 WAE Karol Bagh, Next to Hanuman Temple Metro Rail pillar 80",+91 99994 39556,http://www.ltaschoolofbeauty.com/,4.8,Delhi
Central Board of Secondary Education,"""Shiksha Kendra"", 2, Community Centre, Preet Vihar",+91 11 2250 9257,http://cbse.nic.in/,2.8,Delhi
Delhi Car Driving School,D-212,+91 88026 54830,http://www.delhicardriving.com/,3.7,Delhi
The University of Chicago Center in Delhi,"Ground Floor, DLF Capitol Point Building, Baba Kharak Singh Marg, Near Hanuman Temple, Connaught Place",+91 11 6619 0200,http://www.uchicago.in/,4.7,Delhi
Kids Shell-Next Generation Pre school,"Basement, 21/44",+91 99902 47000,http://www.kidsshell.com/,5,Delhi
Bhaichung Bhutia Football Schools,"Cambridge School, Ashok Marg, F Block, Pocket F, Sector 27",+91 95820 08744,http://www.bbfootballschools.com/,4.1,Delhi
Bhaichung Bhutia Football Schools,Apeejay Auditorium,+91 95820 08744,http://www.bbfootballschools.com/,5,Delhi
